loan_id,sector,region,exposure_at_default,probability_default,loss_given_default,duration_years,rate_type,risk_rating
LN-100198,Technology,APAC,3138385.82,0.00146,0.4163,0.67,floating,A
LN-100199,Commercial Real Estate,North America,463917.55,0.00449,0.2699,6.18,fixed,BBB
LN-100200,Energy,APAC,5076610.15,0.01531,0.327,0.42,fixed,BB
LN-100201,Energy,APAC,822223.17,0.14253,0.3855,0.63,floating,CCC
LN-100202,Transportation,LATAM,3977419.13,0.00369,0.5974,1.44,fixed,BBB
LN-100203,Transportation,APAC,1959691.18,0.0014,0.3733,2.12,fixed,A
LN-100204,Retail & Consumer,North America,436251.31,0.00019,0.5268,1.79,fixed,AAA
LN-100205,Transportation,North America,1400279.65,0.00168,0.3854,2.11,fixed,A
LN-100206,Energy,APAC,2963554.99,0.00184,0.4798,3.64,fixed,A
LN-100207,Healthcare,North America,3891331.4,0.01304,0.433,1.47,floating,BB
LN-100208,Retail & Consumer,APAC,1697917.93,0.0014,0.5548,3.67,floating,A
LN-100209,Energy,EMEA,10691469.94,0.00419,0.3858,0.22,fixed,BBB
LN-100210,Manufacturing,APAC,6005953.88,0.01348,0.2613,1.42,floating,BB
LN-100211,Retail & Consumer,APAC,1495065.34,0.016,0.2842,0.6,floating,BB
LN-100212,Manufacturing,APAC,4525026.51,0.00099,0.3862,6.13,floating,A
LN-100213,Energy,LATAM,16637551.44,0.03942,0.3001,1.64,floating,B
LN-100214,Manufacturing,EMEA,17133275.41,0.01236,0.4992,4.55,floating,BB
LN-100215,Energy,LATAM,513600.05,0.00913,0.3941,0.49,floating,BB
LN-100216,Transportation,EMEA,715554.88,0.00128,0.735,7.82,fixed,A
LN-100217,Retail & Consumer,EMEA,10154328.9,0.00129,0.2415,3.21,fixed,A
LN-100218,Commercial Real Estate,North America,619018.75,0.04364,0.4744,2.95,fixed,B
LN-100219,Technology,LATAM,462871.5,0.00467,0.3146,0.74,fixed,BBB
LN-100220,Transportation,North America,1161457.75,0.00385,0.3908,1.27,floating,BBB
LN-100221,Manufacturing,North America,3147910.26,0.00338,0.467,2.49,fixed,BBB
LN-100222,Financial Institutions,North America,1771546.8,0.01388,0.171,1.31,fixed,BB
LN-100223,Technology,North America,969349.03,0.13889,0.4784,5.73,fixed,CCC
LN-100224,Healthcare,APAC,944457.81,0.00341,0.6783,3.14,fixed,BBB
LN-100225,Manufacturing,North America,36006275.52,0.03885,0.3956,9.35,floating,B
LN-100226,Commercial Real Estate,APAC,753541.53,0.00022,0.4812,5.16,floating,AAA
LN-100227,Manufacturing,EMEA,24392741.46,0.01353,0.573,2.24,fixed,BB
LN-100228,Transportation,North America,2750414.48,0.01536,0.4303,5.0,fixed,BB
LN-100229,Financial Institutions,EMEA,5258913.27,0.0015,0.3803,1.96,fixed,A
LN-100230,Financial Institutions,North America,1157779.82,0.00166,0.1769,4.33,fixed,A
LN-100231,Transportation,EMEA,1615972.75,0.00338,0.5269,2.18,floating,BBB
LN-100232,Manufacturing,APAC,904457.52,0.11978,0.4364,5.74,floating,CCC
LN-100233,Manufacturing,LATAM,107271.77,0.01356,0.3285,0.5,fixed,BB
LN-100234,Transportation,North America,435473.75,0.03679,0.4652,0.99,fixed,B
LN-100235,Technology,APAC,270579.02,0.03445,0.38,2.66,floating,B
LN-100236,Manufacturing,APAC,166914.64,0.00441,0.3866,1.7,floating,BBB
LN-100237,Manufacturing,APAC,532375.92,0.01326,0.5228,2.12,fixed,BB
LN-100238,Transportation,North America,8515948.41,0.00017,0.2894,4.68,fixed,AAA
LN-100239,Commercial Real Estate,EMEA,1888172.93,0.20118,0.5757,2.09,fixed,CCC
LN-100240,Commercial Real Estate,LATAM,8199798.5,0.05261,0.2823,3.76,floating,B
LN-100241,Healthcare,EMEA,3116062.78,0.00921,0.3705,1.41,fixed,BB
LN-100242,Commercial Real Estate,North America,4689397.69,0.00116,0.6808,0.38,fixed,A
LN-100243,Energy,North America,736020.54,0.00345,0.5853,4.98,floating,BBB
LN-100244,Transportation,EMEA,3528368.18,0.01707,0.4617,8.98,floating,BB
LN-100245,Retail & Consumer,EMEA,4419714.49,0.04691,0.3371,3.49,fixed,B
LN-100246,Healthcare,APAC,1051457.63,0.01561,0.3865,2.77,fixed,BB
LN-100247,Retail & Consumer,LATAM,3669237.41,0.00332,0.4588,3.23,fixed,BBB
LN-100248,Commercial Real Estate,North America,3696165.67,0.00333,0.4545,7.12,floating,BBB
LN-100249,Energy,EMEA,54145367.69,0.00427,0.4391,3.52,fixed,BBB
LN-100250,Financial Institutions,LATAM,576629.21,0.01412,0.4463,5.15,floating,BB
LN-100251,Commercial Real Estate,EMEA,538993.52,0.0487,0.4243,4.99,floating,B
LN-100252,Technology,APAC,2180699.15,0.00389,0.277,6.06,fixed,BBB
LN-100253,Manufacturing,North America,2841125.56,0.00156,0.388,2.73,floating,A
LN-100254,Manufacturing,APAC,829204.09,0.00154,0.5598,1.94,fixed,A
LN-100255,Transportation,EMEA,2041598.99,0.01563,0.2858,4.37,fixed,BB
LN-100256,Technology,APAC,3713891.25,0.05045,0.4273,5.78,floating,B
LN-100257,Technology,EMEA,3913762.66,0.00114,0.3516,6.52,fixed,A
LN-100258,Manufacturing,LATAM,10930505.76,0.0004,0.4634,7.7,fixed,AA
LN-100259,Retail & Consumer,APAC,8078194.2,0.0161,0.4034,5.43,fixed,BB
LN-100260,Healthcare,North America,659066.31,0.00177,0.6273,1.86,fixed,A
LN-100261,Commercial Real Estate,North America,12634539.23,0.03811,0.5108,3.48,fixed,B
LN-100262,Energy,North America,1105629.98,0.00288,0.2926,3.27,floating,BBB
LN-100263,Technology,APAC,6257930.48,0.00152,0.5305,3.01,floating,A
LN-100264,Technology,APAC,2136725.96,0.05128,0.357,4.37,floating,B
LN-100265,Commercial Real Estate,North America,1260016.89,0.0019,0.3808,2.54,floating,A
LN-100266,Financial Institutions,North America,271450.06,0.00431,0.4877,2.54,fixed,BBB
LN-100267,Technology,North America,1641759.41,0.00142,0.391,9.33,floating,A
LN-100268,Energy,APAC,356710.01,0.0013,0.5571,2.84,fixed,A
LN-100269,Financial Institutions,North America,5746084.13,0.0002,0.3571,6.03,fixed,AAA
LN-100270,Transportation,North America,10516667.35,0.00057,0.3757,6.27,floating,AA
LN-100271,Retail & Consumer,APAC,825213.91,0.00127,0.3712,3.55,fixed,A
LN-100272,Manufacturing,EMEA,2763940.17,0.00078,0.3821,2.62,fixed,AA
LN-100273,Manufacturing,APAC,892756.66,0.01775,0.5819,1.46,fixed,BB
LN-100274,Technology,North America,993179.6,0.01639,0.5255,0.66,fixed,BB
LN-100275,Commercial Real Estate,LATAM,4647984.18,0.00345,0.6552,4.59,fixed,BBB
LN-100276,Retail & Consumer,North America,1900462.65,0.00451,0.7221,3.97,fixed,BBB
LN-100277,Commercial Real Estate,North America,13438211.97,0.00438,0.3263,5.06,floating,BBB
LN-100278,Commercial Real Estate,APAC,1166530.22,0.04799,0.4585,2.04,fixed,B
LN-100279,Retail & Consumer,APAC,5952191.12,0.05344,0.3089,9.94,fixed,B
LN-100280,Healthcare,APAC,38493006.2,0.00066,0.3567,9.35,floating,AA
LN-100281,Transportation,EMEA,4758084.89,0.00167,0.3744,2.76,floating,A
LN-100282,Commercial Real Estate,EMEA,1212417.16,0.00164,0.3231,0.35,fixed,A
LN-100283,Energy,APAC,1877563.12,0.00158,0.3238,2.23,fixed,A
LN-100284,Retail & Consumer,APAC,1746197.69,0.01025,0.4327,5.22,fixed,BB
LN-100285,Technology,APAC,790433.79,0.00405,0.304,7.57,floating,BBB
LN-100286,Transportation,North America,4107354.43,0.00055,0.5511,3.09,floating,AA
LN-100287,Healthcare,North America,4054240.41,0.00323,0.3399,8.38,floating,BBB
LN-100288,Technology,EMEA,3809125.39,0.00501,0.7871,1.37,floating,BBB
LN-100289,Commercial Real Estate,LATAM,10752643.82,0.00189,0.3958,4.05,fixed,A
LN-100290,Commercial Real Estate,APAC,9764650.02,0.05417,0.4586,4.13,fixed,B
LN-100291,Energy,EMEA,1312653.0,0.31797,0.2946,4.62,fixed,CCC
LN-100292,Healthcare,North America,2988725.35,0.05412,0.6547,3.4,fixed,B
LN-100293,Manufacturing,APAC,998529.77,0.0006,0.5843,3.9,fixed,AA
LN-100294,Energy,LATAM,2034358.0,0.04637,0.4856,1.34,fixed,B
LN-100295,Healthcare,APAC,1025074.25,0.03762,0.2884,7.1,fixed,B
LN-100296,Financial Institutions,EMEA,11781927.41,0.12715,0.4753,5.64,floating,CCC
LN-100297,Retail & Consumer,EMEA,2958130.28,0.04541,0.3154,3.79,fixed,B
LN-100298,Transportation,LATAM,1559955.67,0.01126,0.6255,5.73,floating,BB
LN-100299,Healthcare,North America,7370384.47,0.01389,0.5471,7.25,floating,BB
LN-100300,Healthcare,APAC,182102.15,0.01383,0.4615,4.57,fixed,BB
LN-100301,Financial Institutions,EMEA,216314.18,0.0019,0.1576,10.63,fixed,A
LN-100302,Energy,EMEA,4758402.31,0.00454,0.332,4.83,floating,BBB
LN-100303,Financial Institutions,North America,2119128.11,0.00401,0.5325,1.53,floating,BBB
LN-100304,Energy,EMEA,40814207.44,0.04668,0.5955,3.66,fixed,B
LN-100305,Transportation,APAC,460912.86,0.00403,0.5831,5.88,fixed,BBB
LN-100306,Technology,North America,1932727.78,0.00388,0.259,7.26,floating,BBB
LN-100307,Financial Institutions,EMEA,17963641.41,0.01173,0.4862,3.46,floating,BB
LN-100308,Transportation,APAC,4909190.32,0.00391,0.5719,1.42,fixed,BBB
LN-100309,Financial Institutions,North America,2389697.15,0.00133,0.251,2.58,fixed,A
LN-100310,Energy,LATAM,57390286.04,0.00325,0.4491,0.92,floating,BBB
LN-100311,Financial Institutions,EMEA,1284615.31,0.00431,0.4829,5.17,fixed,BBB
LN-100312,Retail & Consumer,EMEA,190590.48,0.00159,0.4139,2.21,floating,A
LN-100313,Healthcare,North America,2632394.54,0.00293,0.2277,1.73,fixed,BBB
LN-100314,Retail & Consumer,LATAM,5025479.45,0.00393,0.4109,5.52,fixed,BBB
LN-100315,Financial Institutions,APAC,350395.83,0.0046,0.4107,8.27,fixed,BBB
LN-100316,Financial Institutions,North America,957845.16,0.00464,0.4322,1.73,fixed,BBB
LN-100317,Transportation,North America,555036.36,0.01615,0.3824,3.47,floating,BB
LN-100318,Technology,EMEA,685643.91,0.00402,0.3968,2.66,fixed,BBB
LN-100319,Retail & Consumer,LATAM,2102903.97,0.0393,0.4452,7.48,floating,B
LN-100320,Energy,EMEA,200217.11,0.03769,0.5031,2.89,fixed,B
LN-100321,Healthcare,North America,3896921.66,0.00421,0.4135,1.31,floating,BBB
LN-100322,Energy,North America,52969557.84,0.00423,0.4008,3.0,floating,BBB
LN-100323,Technology,North America,1504223.16,0.00477,0.4611,6.48,floating,BBB
LN-100324,Healthcare,North America,129472.09,0.05242,0.2195,2.54,fixed,B
LN-100325,Financial Institutions,APAC,662608.44,0.01372,0.5072,1.88,floating,BB
